Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1697521047&sprefix=ba%2Caps%2C283&sr=8-13,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,689,4.1 out of 5 stars,"1,946"
https://www.amazon.in/gp/bestsellers/luggage/2917444031/ref=sr_bs_13_2917444031_1,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",229,4.1 out of 5 stars,"10,262"
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_14_1375464031_1,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),529,3.7 out of 5 stars,"2,763"
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1697521047&sprefix=ba%2Caps%2C283&sr=8-16,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,799,4.3 out of 5 stars,"6,865"
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1697521047&sprefix=ba%2Caps%2C283&sr=8-17,Skybags One Size Brat Black 46 Cms Casual Backpack,619,4.1 out of 5 stars,"6,271"
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1697521047&sprefix=ba%2Caps%2C283&sr=8-18,ADISA Laptop Backpack 31 Ltrs,349,4.0 out of 5 stars,"9,230"
https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1697521047&sprefix=ba%2Caps%2C283&sr=8-19,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,374,3.9 out of 5 stars,"4,289"
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1697521047&sprefix=ba%2Caps%2C283&sr=8-20,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,"1,399",4.3 out of 5 stars,"1,338"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzEzMDgzOTE5NjY3NjU0OjE2OTc1MjEwNDc6c3BfYnRmOjMwMDA2Nzg4NzQxNjIzMjo6MDo6&url=%2FLaptops-College-Backpack-Charging-Anti-Theft%2Fdp%2FB0C6639P8P%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697521047%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Amazon Basics Laptop Bag for 15.6 Inch Laptops | College/Travel Backpack with USB Charging Port and Anti-Theft Pocket | 23 L,"1,009",4.4 out of 5 stars,138
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzEzMDgzOTE5NjY3NjU0OjE2OTc1MjEwNDc6c3BfYnRmOjMwMDA0ODIxMjM2NTYzMjo6MDo6&url=%2FGRAND-PITSTOP-GRPack-Waterproof-Backpack%2Fdp%2FB09R1VJKY8%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697521047%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"GRAND PITSTOP GRPack NightWing Anti Theft Backpack With safety flashers for 15.6 inch Laptop Compartment, Light Weight, Quick Access Pockets, Water Resistant Multifunctional Backpack 25 L",349,4.2 out of 5 stars,"1,052"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUyNDY4MzMyNzY1NDoxNjk3NTIxMDQ5OnNwX2F0Zl9uZXh0OjMwMDA2ODYwMjU1MTMzMjo6MDo6&url=%2FGenie-Flamenco2-Backpack-Compatible-Resistant%2Fdp%2FB08YF9VHTY%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697521049%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Genie Flamenco2 Casual Backpacks for Women,649,4.4 out of 5 stars,"1,632"
